1,2,3,1,0,0,1,0,0
2,1,1,0,1,0,1,1 ,0
3,0,2,2,1,0,0,0,0
4,0,1,0,2,0,0,1 ,0
5,1,4,2,1,1,0,1 ,1
6,2,1,0,1,0,1,1 ,1
7,0,2,2,1,1,0,1 ,1
8,0,2,0,1,1,0,0,0
9,1,0,0,0,0,1,0,1
10,0,0,2,0,0,0,1 ,0
11,2,0,2,2,1,0,0,1
12,1,2,1,0,0,0,1 ,1
13,1,4,1,0,1,0,0,0
14,1,2,2,2,1,1,1 ,0
15,0,1,1,2,1,1,0,1
16,2,4,0,2,1,0,0,0
17,2,2,0,0,1,1,0,0
18,0,3,1,2,1,1,1 ,0
19,2,0,2,1,1,0,0,0
20,0,4,2,0,0,1,0,1
21,2,2,1,2,0,1,0,1
22,1,0,0,0,1,0,1 ,1
23,1,3,1,1,1,0,0,0
24,1,0,2,1,0,1,0,0
25,1,4,2,0,0,0,1 ,0
26,2,1,2,0,1,1,1 ,1
27,0,1,1,0,0,1,0,0
28,2,4,1,1,0,1,0,0
29,1,1,1,1,1,0,1 ,0
30,1,0,1,2,0,1,1 ,1
31,2,4,0,0,1,0,1 ,1
32,2,3,1,2,0,0,1 ,1
33,0,4,0,1,0,1,1 ,0
34,0,0,1,2,1,1,1 ,0
35,2,3,0,0,1,0,0,1
36,2,2,1,2,1,0,1 ,0
37,0,3,0,2,0,0,0,0
38,0,4,1,2,1,1,1 ,1
39,0,0,2,1,0,0,0,1
40,1,1,0,2,1,1,0,1
41,0,3,2,1,1,1,0,1
42,2,0,1,0,0,0,0,0
43,0,2,1,1,1,1,1 ,1
44,1,3,0,1,0,1,1 ,0
45,2,0,2,2,0,1,1 ,0
46,2,3,2,0,0,0,0,0
47,1,4,0,2,0,1,1 ,1
48,0,2,0,2,1,0,1 ,1
49,1,3,2,2,0,0,1 ,1
50,2,1,2,0,1,0,0,0
51,1,2,0,1,0,1,0,0
52,1,1,0,0,0,0,1 ,1
53,0,4,2,2,0,0,1 ,0
54,2,2,2,1,0,0,0,1
55,2,4,2,1,1,1,1 ,0
56,2,0,0,1,0,0,1 ,0
57,0,3,0,0,1,1,1 ,0
58,0,0,0,2,0,0,0,0
59,1,3,0,0,1,1,0,1
60,2,3,0,1,0,1,0,1
61,0,1,2,1,0,1,0,1
62,2,1,1,2,1,0,0,1
63,0,2,2,0,0,1,0,1
64,1,1,2,2,0,0,0,1
65,0,0,1,1,0,0,1 ,1
